quarter_start__date,quarter_label,transactions_total__LR__count,price_avg__LR__gbp,price_median__LR__gbp,price_min__LR__gbp,price_max__LR__gbp,boe_house_purchase__LPMVTVX__count,boe_remortgage__LPMB4B3__count,boe_total_secured_lending__LPMB3C8__count,boe_mfi_total_approvals__LPMZ3UP__count,mlar_gross_advances__MLAR_1_21_C_1__gbp,mlar_net_advances__MLAR_1_21_C_2__gbp,mlar_new_commitments__MLAR_1_21_C_3__gbp,mlar_imp_repayment__MLAR_1_32_C_3__pct,mlar_imp_interest_only__MLAR_1_32_C_4__pct,mlar_new_house_purchase__MLAR_1_33_C_29__gbp,mlar_new_remortgage__MLAR_1_33_C_30__gbp
2013-01-01,2013Q1,143974,238380.05,178500.00,440.00,29350000.00,53125.0000000000000000000000,28458.6666666666666666666667,94905.0000000000000000000000,88085.3333333333333333333333,29335989000.000000000000000000,2564480000.000000000000000000,30973242000.000000000000000000,0.268,1.730,58866000.000000000000000000,33382000.000000000000000000
2013-04-01,2013Q2,184997,241670.34,180000.00,900.00,24250000.00,58005.6666666666666666666667,32364.0000000000000000000000,103452.0000000000000000000000,96994.0000000000000000000000,36083721000.000000000000000000,6054642000.000000000000000000,41811772000.000000000000000000,0.215,1.690,60625000.000000000000000000,32025000.000000000000000000
2013-07-01,2013Q3,227083,263178.43,190000.00,247.00,94390560.00,63599.0000000000000000000000,35015.6666666666666666666667,111591.3333333333333333333333,103393.3333333333333333333333,43027189000.000000000000000000,8021160000.000000000000000000,43266777000.000000000000000000,0.202,1.640,63833000.000000000000000000,29920000.000000000000000000
2013-10-01,2013Q4,255092,273082.44,185000.00,100.00,92000000.00,70273.0000000000000000000000,34847.3333333333333333333333,118295.3333333333333333333333,110334.6666666666666666666667,44342579000.000000000000000000,9090186000.000000000000000000,42662648000.000000000000000000,0.199,1.530,64174000.000000000000000000,29999000.000000000000000000
2014-01-01,2014Q1,213227,272226.54,183000.00,200.00,125000000.00,70807.3333333333333333333333,34427.3333333333333333333333,118132.0000000000000000000000,109306.3333333333333333333333,39667472000.000000000000000000,6684120000.000000000000000000,41367042000.000000000000000000,0.215,1.252,61575000.000000000000000000,31687000.000000000000000000
2014-04-01,2014Q2,246397,277421.07,188000.00,100.00,96000000.00,65049.6666666666666666666667,31048.0000000000000000000000,106478.3333333333333333333333,99312.3333333333333333333333,43830982000.000000000000000000,8902930000.000000000000000000,44947036000.000000000000000000,0.205,1.219,66140000.000000000000000000,27659000.000000000000000000
2014-07-01,2014Q3,268616,287457.62,198000.00,100.00,86500000.00,64764.6666666666666666666667,32337.0000000000000000000000,107152.0000000000000000000000,98098.0000000000000000000000,47058994000.000000000000000000,10242686000.000000000000000000,44727293000.000000000000000000,0.215,1.180,67852000.000000000000000000,26532000.000000000000000000
2014-10-01,2014Q4,256911,281371.05,195000.00,100.00,132500000.00,60050.0000000000000000000000,32333.0000000000000000000000,101944.3333333333333333333333,92340.6666666666666666666667,42750087000.000000000000000000,7281571000.000000000000000000,38049542000.000000000000000000,0.239,1.134,66799000.000000000000000000,27306000.000000000000000000
2015-01-01,2015Q1,200888,288643.25,194000.00,100.00,92500000.00,61063.6666666666666666666667,32762.3333333333333333333333,103353.3333333333333333333333,93631.0000000000000000000000,36813337000.000000000000000000,4581851000.000000000000000000,38792482000.000000000000000000,0.205,1.110,60461000.000000000000000000,32169000.000000000000000000
2015-04-01,2015Q2,243977,288872.69,199950.00,150.00,141067995.00,67503.6666666666666666666667,37577.0000000000000000000000,116225.6666666666666666666667,108712.6666666666666666666667,42990153000.000000000000000000,8121777000.000000000000000000,48986769000.000000000000000000,0.212,1.014,62821000.000000000000000000,30452000.000000000000000000
